open,high,low,close,qty,tradeTime,tradeDate
106457.0,106548.0,106455.0,106540.0,354,21:14:58,2025-09-04
106536.0,106583.0,106518.0,106547.0,315,21:19:53,2025-09-04
106527.0,106581.0,106519.0,106565.0,168,21:24:59,2025-09-04
106581.0,106589.0,106550.0,106570.0,180,21:29:51,2025-09-04
106570.0,106632.0,106569.0,106590.0,313,21:34:56,2025-09-04
106589.0,106589.0,106533.0,106578.0,169,21:39:58,2025-09-04
106578.0,106600.0,106560.0,106600.0,124,21:44:55,2025-09-04
106600.0,106618.0,106580.0,106612.0,144,21:49:59,2025-09-04
106612.0,106650.0,106517.0,106540.0,276,21:54:59,2025-09-04
106546.0,106586.0,106505.0,106563.0,139,21:59:57,2025-09-04
106559.0,106611.0,106523.0,106583.0,113,22:04:59,2025-09-04
106560.0,106611.0,106559.0,106560.0,121,22:09:57,2025-09-04
106562.0,106577.0,106540.0,106542.0,57,22:14:56,2025-09-04
106539.0,106548.0,106430.0,106441.0,208,22:19:58,2025-09-04
106448.0,106530.0,106447.0,106530.0,171,22:24:59,2025-09-04
106529.0,106550.0,106510.0,106548.0,42,22:29:44,2025-09-04
106531.0,106574.0,106531.0,106541.0,83,22:34:57,2025-09-04
106550.0,106600.0,106541.0,106572.0,119,22:39:54,2025-09-04
106590.0,106590.0,106500.0,106519.0,97,22:44:59,2025-09-04
106510.0,106518.0,106480.0,106495.0,91,22:49:54,2025-09-04
106495.0,106511.0,106456.0,106465.0,106,22:54:58,2025-09-04
106463.0,106484.0,106380.0,106431.0,315,22:59:56,2025-09-04
106440.0,106450.0,106380.0,106380.0,141,23:04:56,2025-09-04
106370.0,106398.0,106330.0,106386.0,245,23:09:52,2025-09-04
106365.0,106392.0,106302.0,106342.0,405,23:14:57,2025-09-04
106364.0,106371.0,106260.0,106293.0,355,23:19:56,2025-09-04
106280.0,106295.0,106261.0,106282.0,232,23:24:33,2025-09-04
106260.0,106297.0,106234.0,106297.0,500,23:29:59,2025-09-04
106245.0,106245.0,106245.0,106245.0,1,23:30:00,2025-09-04
